"b_t","variable","n","min","max","median","iqr","mean","sd","se","ci"
"B","x",33,0,20,10,20,10,8.292,1.443,2.94
"B","y",33,0,100,50,60,50,32.113,5.59,11.387
"B","lat",33,55.249,55.25,55.25,0,55.25,0,0,0
"B","lon",33,-4.485,-4.484,-4.485,0,-4.485,0,0,0
"B","elev",29,312.739,441.845,331.917,15.295,337.551,22.832,4.24,8.685
"B","moisture",27,39.435,88.194,61.492,30.537,63.587,16.227,3.123,6.419
"B","om",26,6.728,95.352,27.729,47.931,39.72,30.295,5.941,12.236
"B","mf",26,4.648,93.272,72.271,47.931,60.28,30.295,5.941,12.236
"B","ph",23,3.88,6.98,4.93,1.03,4.92,0.859,0.179,0.371
"B","mn_ppb",21,13.25,10784.94,618.85,1134.69,1520.84,2610.879,569.741,1188.458
"B","al_ppb",22,494.47,16155.43,2832.555,3461.152,4955.559,4699.403,1001.916,2083.598
"B","fe_ppb",22,302.81,55626.72,4811.16,10364.492,10951.207,15172.454,3234.778,6727.089
"B","c_cl_ppm",12,7.242,5356.16,8.663,25.104,462.081,1541.312,444.938,979.303
"B","c_nitrate_ppm",15,0.42,12.608,3.646,7.292,4.92,4.061,1.048,2.249
"B","c_so4_ppm",14,2.434,10.886,3.402,1.865,4.556,2.372,0.634,1.369
"B","abs_254",23,0.14,2.856,0.742,0.871,0.932,0.675,0.141,0.292
"B","abs_365",23,0.029,0.839,0.224,0.272,0.283,0.21,0.044,0.091
"B","doc_254",23,4.68,166.542,45.085,44.599,50.657,39.636,8.265,17.14
"B","e254_356",23,2.59,4.871,3.357,0.535,3.394,0.462,0.096,0.2
"T","x",33,0,20,10,20,10,8.292,1.443,2.94
"T","y",33,0,100,50,60,50,32.113,5.59,11.387
"T","lat",33,55.249,55.25,55.25,0,55.25,0,0,0
"T","lon",33,-4.485,-4.484,-4.485,0,-4.485,0,0,0
"T","elev",29,312.739,441.845,331.917,15.295,337.551,22.832,4.24,8.685
"T","moisture",32,29.395,88.343,72.648,16.49,72.314,13.078,2.312,4.715
"T","om",31,7.182,93.269,42.505,55.418,47.589,28.688,5.153,10.523
"T","mf",31,6.731,92.818,57.495,55.418,52.411,28.688,5.153,10.523
"T","ph",31,3.68,6.48,4.56,0.98,4.725,0.745,0.134,0.273
"T","mn_ppb",31,19.01,6827.9,612.11,1125.39,1154.736,1578.72,283.547,579.079
"T","al_ppb",31,169.1,8091.3,2611.76,1824.83,2806.647,1879.411,337.552,689.374
"T","fe_ppb",31,195.93,31770.08,3974.93,5695.54,8693.364,9471.633,1701.155,3474.223
"T","c_cl_ppm",20,7.162,820.313,8.643,3.946,51.452,181.095,40.494,84.755
"T","c_nitrate_ppm",18,0.56,11.57,4.005,5.055,4.824,3.609,0.851,1.795
"T","c_so4_ppm",26,2.801,8.523,4.244,1.485,4.37,1.35,0.265,0.545
"T","abs_254",31,0.104,3.521,0.741,0.759,1.037,0.863,0.155,0.317
"T","abs_365",31,0.03,1.101,0.228,0.257,0.323,0.263,0.047,0.097
"T","doc_254",31,2.888,210.747,37.582,49.57,55.674,50.023,8.984,18.349
"T","e254_356",31,2.351,3.865,3.352,0.546,3.238,0.398,0.072,0.146
