"x","variable","n","min","max","median","iqr","mean","sd","se","ci"
"0","lat",11,55.25,55.25,55.25,0,55.25,0,0,0
"0","lon",11,-4.485,-4.484,-4.485,0,-4.485,0,0,0
"0","elev",10,312.739,441.845,339.767,13.387,350.016,35.494,11.224,25.391
"0","moisture",10,68.936,86.023,78.585,11.346,77.529,6.432,2.034,4.601
"0","om",10,32.807,86.716,61.099,36.749,60.757,21.296,6.734,15.234
"0","mf",10,13.284,67.193,38.901,36.749,39.243,21.296,6.734,15.234
"0","ph",10,4,5.04,4.365,0.62,4.453,0.392,0.124,0.281
"0","mn_ppb",10,19.01,1060.84,76.365,359.21,297.245,384.636,121.632,275.152
"0","al_ppb",10,724.62,2817.43,1335.81,750.2,1497.051,645.085,203.994,461.466
"0","fe_ppb",10,1015.18,8471.44,3619.45,1738.465,3723.101,2228.81,704.812,1594.395
"0","c_cl_ppm",7,7.162,12.655,8.453,2.35,9.211,2.063,0.78,1.908
"0","c_nitrate_ppm",6,0.807,4.755,1.725,1.571,2.252,1.478,0.603,1.551
"0","c_so4_ppm",10,2.801,8.523,4.633,1.474,4.967,1.626,0.514,1.163
"0","abs_254",10,0.234,0.881,0.564,0.218,0.594,0.196,0.062,0.14
"0","abs_365",10,0.081,0.251,0.169,0.062,0.171,0.05,0.016,0.036
"0","doc_254",10,10.835,60.693,34.625,13.201,36.307,14.17,4.481,10.136
"0","e254_356",10,2.878,3.865,3.478,0.271,3.439,0.312,0.099,0.223
"10","lat",11,55.25,55.25,55.25,0,55.25,0,0,0
"10","lon",11,-4.485,-4.484,-4.485,0,-4.485,0,0,0
"10","elev",8,322.374,346.107,330.902,17.981,333.344,9.975,3.527,8.339
"10","moisture",11,45.538,87.442,64.759,9.344,64.45,10.574,3.188,7.104
"10","om",11,9.648,47.91,18.086,5.779,20.696,9.884,2.98,6.64
"10","mf",11,52.09,90.352,81.914,5.779,79.304,9.884,2.98,6.64
"10","ph",11,4.56,6.48,5.61,0.785,5.448,0.622,0.187,0.418
"10","mn_ppb",11,644.82,6827.9,2251.94,2487.27,2509.405,2002.658,603.824,1345.404
"10","al_ppb",11,169.1,8091.3,3322.19,1885.575,3738.443,2526.49,761.765,1697.319
"10","fe_ppb",11,195.93,31770.08,9050.17,24647.025,15207.97,12915.885,3894.286,8677.009
"10","c_cl_ppm",10,7.452,820.313,9.165,6.295,93.141,255.658,80.846,182.887
"10","c_nitrate_ppm",11,0.56,11.57,6.362,5.998,6.111,3.885,1.171,2.61
"10","c_so4_ppm",8,2.882,5.816,3.725,1.345,3.912,1.01,0.357,0.845
"10","abs_254",11,0.104,1.695,0.454,0.723,0.693,0.498,0.15,0.335
"10","abs_365",11,0.03,0.561,0.175,0.3,0.249,0.186,0.056,0.125
"10","doc_254",11,2.888,81.487,25.063,20.719,27.208,22.101,6.664,14.848
"10","e254_356",11,2.351,3.795,2.921,0.543,2.949,0.446,0.135,0.3
"20","lat",11,55.249,55.25,55.25,0,55.25,0,0,0
"20","lon",11,-4.485,-4.484,-4.485,0,-4.484,0,0,0
"20","elev",11,324.078,334.297,329.637,5.676,329.28,3.371,1.016,2.264
"20","moisture",11,29.395,88.343,83.82,12.351,75.437,16.589,5.002,11.145
"20","om",10,7.182,93.269,73.269,39.409,64.005,28.379,8.974,20.301
"20","mf",10,6.731,92.818,26.731,39.409,35.995,28.379,8.974,20.301
"20","ph",10,3.68,5.16,4.05,0.46,4.203,0.492,0.156,0.352
"20","mn_ppb",10,99.37,1464.95,418.345,405.948,522.092,446.116,141.074,319.132
"20","al_ppb",10,1750.64,5524.7,3004.98,898.367,3091.267,1099.379,347.654,786.448
"20","fe_ppb",10,2977.82,16847.86,3957.5,3474.472,6497.56,4902.991,1550.462,3507.389
"20","c_cl_ppm",3,7.438,17.754,7.958,5.158,11.05,5.812,3.356,14.438
"20","c_nitrate_ppm",1,6.096,6.096,6.096,0,6.096,NA,NA,NA
"20","c_so4_ppm",8,3.047,6.524,3.753,0.855,4.082,1.114,0.394,0.932
"20","abs_254",10,0.728,3.521,1.548,1.264,1.859,1.029,0.325,0.736
"20","abs_365",10,0.233,1.101,0.44,0.423,0.555,0.313,0.099,0.224
"20","doc_254",10,37.396,210.747,94.978,59.057,106.354,57.763,18.266,41.321
"20","e254_356",10,2.965,3.619,3.436,0.325,3.355,0.221,0.07,0.158
