"variable","n","min","max","median","iqr","mean","sd","se","ci"
"x",66,0,20,10,20,10,8.228,1.013,2.023
"y",66,0,100,50,60,50,31.865,3.922,7.833
"lat",66,55.249,55.25,55.25,0,55.25,0,0,0
"lon",66,-4.485,-4.484,-4.485,0,-4.485,0,0,0
"elev",58,312.739,441.845,331.917,15.295,337.551,22.631,2.972,5.95
"moisture",59,29.395,88.343,70.71,23.394,68.32,15.122,1.969,3.941
"om",57,6.728,95.352,32.873,56.844,44,29.432,3.898,7.809
"mf",57,4.648,93.272,67.127,56.844,56,29.432,3.898,7.809
"ph",54,3.68,6.98,4.8,1.023,4.808,0.794,0.108,0.217
"mnppb",52,13.25,10784.94,615.48,1187.273,1302.586,2042.598,283.257,568.663
"alppb",53,169.1,16155.43,2704.66,2161.02,3698.648,3478.394,477.794,958.764
"feppb",53,195.93,55626.72,4075.04,7689.42,9630.582,12082.429,1659.649,3330.33
"cclppm",32,7.162,5356.16,8.643,5.634,205.438,950.718,168.065,342.77
"cnitrateppm",33,0.42,12.608,3.646,6.376,4.867,3.76,0.654,1.333
"cso4ppm",40,2.434,10.886,4.167,1.87,4.435,1.747,0.276,0.559
"abs254",54,0.104,3.521,0.742,0.829,0.992,0.784,0.107,0.214
"abs365",54,0.029,1.101,0.226,0.278,0.306,0.241,0.033,0.066
"doc254",54,2.888,210.747,38.276,44.445,53.537,45.55,6.199,12.433
"e254356",54,2.351,4.871,3.354,0.592,3.305,0.43,0.058,0.117
