"","mn_ppb_norm.1.comps","mn_ppb_norm.2.comps","mn_ppb_norm.3.comps","mn_ppb_norm.4.comps","mn_ppb_norm.5.comps","mn_ppb_norm.6.comps","mn_ppb_norm.7.comps","mn_ppb_norm.8.comps"
"0-10",-0.3663711810624,0.197530906279253,0.222227298378371,0.231663680091262,0.197191032865177,0.206283856269903,0.34236240848016,0.255634746957752
"0-20",-0.447045197756066,-0.234306992573761,-0.258664013978329,-0.265148422249373,-0.30211744615475,-0.310287627371768,-0.170897320407741,0.293214467522334
"0-30",-0.404798868302332,0.137609679137753,0.138754663283337,0.141631372637263,0.0912126104103345,0.0757201675564227,0.11471056319209,0.0998481085321643
"0-40",-0.0368699329167214,0.177358666112748,0.131193468258568,0.142155393977259,0.162451512918715,0.14798512144898,-0.251751913227733,-0.175827530043673
"0-50",-0.136162967191931,0.0909042903235887,0.0664173686689259,0.0672096536225738,0.00530860383999354,-0.0105105545573234,0.0733294945067774,0.0630875784009747
"0-60",0.102631532054724,0.204787339058454,0.129735497824266,0.133369653129622,0.0919013090023149,0.063772793873675,0.0734119874393652,0.0814266451666843
"0-70",0.194700944960293,0.344967042599476,0.29660166784374,0.309000445081191,0.23386076245825,0.246005744259155,0.0896435362422833,0.135666162252409
"0-80",-0.172124567354013,-0.014728648305347,-0.113319406873907,-0.112475949609864,-0.217273631889043,-0.230163815901184,-0.210976408263759,-0.263898549362874
"0-90",-0.414646964713791,-0.317806183053644,-0.354414021798085,-0.345089149602337,-0.311286014829121,-0.294491872744878,-0.139375537749049,-0.163625757144221
"0-100",-0.48496763050031,-0.182608980287819,-0.256019240350896,-0.265332998163091,-0.291375258308119,-0.302446293136205,0.220687568515036,0.14761647810684
"10-0",1.1132462352638,0.373991673967017,0.219245200637564,0.228699517153118,0.309820834224176,0.358246324363081,0.129647520098528,0.160600652249126
"10-10",2.23489260674965,1.33600968400662,1.36000254142067,1.36256873980328,1.42381165936826,1.38543483995493,1.27690558787175,1.21160422776311
"10-20",-0.740725579933934,0.173756419886652,0.167766654675553,0.159662953733691,0.188427073232294,0.214742720982825,-0.0717301787917168,-0.106859174908836
"10-30",-0.835377819757053,-0.320154801721597,-0.267926176341064,-0.269847146545277,-0.242107504650299,-0.252467625100178,-0.200135157673885,-0.171766076807706
"10-40",0.0456063944518046,-0.821962500653943,-0.752258378316919,-0.740115564226373,-0.672835569169352,-0.694546240162471,-0.619696075386948,-0.572748842635018
"10-50",1.46968058037895,0.922458307470854,0.899445370514688,0.896795524496531,0.67018330103038,0.687518255855559,0.5576205325772,0.549921440510317
"10-60",-0.512400285940043,0.0689823248203008,0.114491818244136,0.129802509048095,0.230489116884322,0.270641467946074,0.611966879400765,0.610130066792552
"10-70",0.164115502899906,-0.237564364768826,-0.133988793957278,-0.133528940353681,-0.482700152014365,-0.470643913125262,-0.511902959161354,-0.515634363958802
"10-80",-0.229228465404524,-0.00860229462978268,-0.0115153117656425,-0.0237216062328028,0.050055023736241,0.0380745260584746,-0.0128560493886675,-0.0903163625647513
"10-90",-0.867623811418371,0.413864763179738,0.510889761297756,0.506953733532103,0.478910837146641,0.474067051946344,0.221088962355992,0.235534526468583
"10-100",-0.830728507856842,-0.744338555751224,-0.83202842816261,-0.851586338736428,-0.723702054774208,-0.717902184516694,-0.791294814576957,-0.797772208254479
"20-10",-0.691138002285478,-1.1635331228204,-1.05782646959249,-1.04503599554893,-0.990698450270229,-0.978216994675276,-0.816032713833725,-0.777708920914619
"20-20",-0.418304165737882,-0.317533735946289,-0.319365140882742,-0.319857162179417,-0.256453550095295,-0.250417210181456,-0.149930840889095,-0.0483791903559527
"20-30",0.195137879267754,-0.211353424331127,-0.299178260893511,-0.297581259533417,-0.351463270901483,-0.364436984682648,-0.2547732315796,-0.270701964775553
"20-50",0.14774483141846,-0.167452342149749,-0.158896509066862,-0.160138007226901,-0.084660614181905,-0.0791181839247208,0.0029532780589675,-0.0024652585005116
"20-60",0.607609942515985,0.0855862969951631,0.134852932119178,0.112858695064784,0.0936650056213121,0.101865255281613,0.118782691755297,0.115453923529763
"20-70",0.723357998106214,0.170987164086123,0.267090823972346,0.25114246558238,0.299531900255855,0.338466792770864,0.295442815013247,0.316711523956339
"20-80",0.0107175132443529,0.0129672788209573,0.0400859064085314,0.0434092359262215,0.0768373736627144,0.0553726869277411,-0.017478545213923,0.00478022578194193
"20-90",0.0529163169817003,-0.0160443620059074,0.0624420472096718,0.0700027326104022,0.21211543501576,0.192711885746274,-0.0505134347516112,-0.0531497440397339
"20-100",0.526155669838089,0.0462284722547071,0.054157131223021,0.0425322347181051,0.110900125565417,0.0987400088381364,0.140791355388306,0.149723489877582
