"","mn_ppb_log.1.comps","mn_ppb_log.2.comps","mn_ppb_log.3.comps","mn_ppb_log.4.comps","mn_ppb_log.5.comps","mn_ppb_log.6.comps","mn_ppb_log.7.comps","mn_ppb_log.8.comps"
"0-10",0.0449026738421957,0.628928368568567,0.538552381420454,0.93127290919605,0.972595609904704,0.828159692296788,0.79369988501719,0.806927280412381
"0-20",0.179370842679174,0.399700897959074,0.488834964368078,0.218968789387275,0.263283921332726,0.393064031269718,0.357765572867525,0.286980888733803
"0-30",-1.36337168358549,-0.801606554753311,-0.80579660291949,-0.686074568552523,-0.625637103221238,-0.379545751834168,-0.38941947181088,-0.387152702929084
"0-40",-1.14971798833399,-0.927844352490113,-0.758903670336442,-0.302693505819689,-0.32702266287759,-0.0972297335086485,0.00399754260312157,-0.00758217508881742
"0-50",-0.81149498115931,-0.576324521966158,-0.486715088010106,-0.45374200843235,-0.379540612266247,-0.128259513183872,-0.149490720351604,-0.147928659625444
"0-60",-1.77350977721028,-1.66770840229971,-1.39305758643963,-1.2418123917282,-1.19210388045497,-0.745293499045634,-0.74773447704848,-0.748956844224713
"0-70",-1.46751802864055,-1.31188948241321,-1.13489729384595,-0.618888670136724,-0.528817994797885,-0.721736246111707,-0.68213991394506,-0.689159121665813
"0-80",-2.09238576469446,-1.92937295975374,-1.56858191410003,-1.53347916052675,-1.40785714979512,-1.203101654933,-1.20796057177655,-1.19988907448042
"0-90",-0.068995326477727,0.0313013492333626,0.16526705364109,0.553346811494777,0.512826661937161,0.246058331089043,0.206777497165893,0.210476054635671
"0-100",0.122624644067984,0.435773370967252,0.704416851090701,0.316799648346315,0.348016761284936,0.523875788023832,0.391400157139107,0.402544700734777
"10-0",1.18602326908793,0.42038741060704,0.986679249054896,1.38014618211395,1.2829052628299,0.513685429506099,0.57157457229424,0.566853710339836
"10-10",0.429506793731141,-0.501453979809328,-0.589255394874175,-0.482456113766441,-0.555868602778683,0.053732054807667,0.081215424157504,0.0911749560396999
"10-20",-0.320066560673352,0.627049964072538,0.648969398359372,0.311711982577235,0.277232150106193,-0.14078154719262,-0.0682366769194174,-0.062878927000642
"10-30",-0.497562088607838,0.0360473584961696,-0.155082323815735,-0.235028690483907,-0.268280471592381,-0.103714039682007,-0.116966434807357,-0.121293186423024
"10-40",0.0100433692907431,-0.888485893255043,-1.14356683136204,-0.638210805778042,-0.718859996459205,-0.373994540791721,-0.392949197577203,-0.400109423039519
"10-50",0.780546839280268,0.213796200687112,0.298011615078151,0.187731111550737,0.459373408871279,0.184014480690037,0.216909087793988,0.218083326014701
"10-60",0.0280355035886507,0.630165537814649,0.463624393817482,1.10082017034328,0.980126144912075,0.34232186657262,0.255886438598749,0.256166582744334
"10-70",0.695358987245101,0.279344631138105,-0.0996882421234639,-0.0805501916080218,0.33800476823894,0.146496163118249,0.156944384030733,0.15751348465871
"10-80",0.0214375767038717,0.249937090278948,0.260597222260011,-0.247400710759028,-0.33583748149815,-0.145531995680801,-0.132634608208338,-0.120820635920492
"10-90",-0.592616100571045,0.734604124116861,0.379542949684304,0.215734516696175,0.249349811939976,0.326291431606421,0.390354254671843,0.388151068458014
"10-100",-0.585531260570319,-0.496058366377443,-0.175158910689171,-0.989114216486576,-1.14241036333754,-1.23453901748204,-1.21595345901936,-1.2149655499048
"20-10",-1.11594658013323,-1.60519975838685,-1.99203128807967,-1.45972114318336,-1.5248560922364,-1.72311909721267,-1.7641897800705,-1.77003478906862
"20-20",0.221479782056006,0.325846340698045,0.332548332970258,0.312071536970892,0.236069004620629,0.140184123144165,0.11473749056469,0.0992491929321166
"20-30",1.17007094608188,0.749073451457025,1.07046680594344,1.13693033360444,1.20151922968603,1.40760156202201,1.37983089768066,1.3822602915837
"20-50",0.638571188545133,0.312125778249231,0.280815866354528,0.229147565147817,0.138672073010162,0.0506327518507724,0.0298494122489303,0.0306758282306065
"20-60",1.71776392957322,1.17711116540962,0.99682083130216,0.0814712145922971,0.10447887858647,-0.0257788567264074,-0.0300629381711252,-0.0295552462453293
"20-70",2.08286969193283,1.51078675887265,1.15909720454807,0.495363168068273,0.437358277600798,-0.181107151349254,-0.170211988534482,-0.17345581660268
"20-80",-0.111179956171088,-0.10884990467218,-0.208090017498888,-0.0697806779798591,-0.109851314907548,0.231106777726367,0.249555235465718,0.246160406644037
"20-90",0.83470277544317,0.763281141513061,0.476061588061685,0.790719944544196,0.62036805279998,0.928585788792961,0.990178872594479,0.990580953138632
"20-100",1.78658728367937,1.28953323603777,1.26051845614011,0.776716970607762,0.694763708560987,0.88792237221779,0.877273513345986,0.875911215867434
